activity_text,top_sdg,top_score,source_file
Capital Program and Network Planning To provide well-constructed infrastructure assets across the organisation and delivery of strategic planning associated with the long term infrastructure needs of our community,9,0.997145873427391,QLD_Unknown_Urban_2024_alignment
We provide direction and good decision making for our organisation and community in an understanding environment that embraces trust and continuous improvement Unity,17,0.8373363812764486,QLD_Unknown_Urban_2024_alignment
"At the 2023 Whitsunday Tourism Awards, the Whitsunday Coast Airport was awarded Gold, and Shute Harbour Marine Terminal received Silver in the Tourism, Retail, Hire, and Services category The accolades highlight the excellence and dedication of our local tourism infrastructure",17,0.6218069295088451,QLD_Unknown_Urban_2024_alignment
"Asset Management Strategy Director Corporate Services 100% In the project management space, the 2024/25 capital budget was built upon the foundations set in the previous year with project briefs developed for each capital works project This will enable to successful project management and delivery for the capital program The AMI Project has ramped up considerably in the last quarter, with design and key user workshops completed for the asset management modules",17,0.8195696771144867,QLD_Unknown_Urban_2024_alignment
"Each Council functional area has developed a business plan outlining their activities, highlighting operational and strategic elements, and linking these to functional roles, commercial activities, or organisational support These plans are being presented to the Council and CEO to enhance understanding of each area’s roles and responsibilities",11,0.7595587590932845,QLD_Unknown_Urban_2024_alignment
Director Corporate Services 80% Not Started Completed On Hold Progressing Not Progressing STATUS q4 quarterly highlights REPORT Reference Operational Initiative Action Name Authorising Officer Name Status Progress Comments Enhance employee skills in good record keeping practices to meet the standards of the Public Records Act 2002,17,0.7632509867350261,QLD_Unknown_Urban_2024_alignment
"Asset Management Plans (AMPs) were completed in September 2023 for Waste, Quarry and Shute Harbour awaiting another review then presentation to Councillors for endorsement",12,0.9820015886425972,QLD_Unknown_Urban_2024_alignment
"We are implementing the best practices from the Councils: reducing waste going to landfill, increasing recycling, and promoting a cleaner and healthier environment for today and tomorrow",12,0.9682668912410736,SA_Unknown_Rural_2024_alignment
LGA Hoarding and Squalor report completed Active/Lead/Control Resilient Hills & Coast Develop RH&C standalone website & new Climate Plan Strategy,13,0.9779289434552192,SA_Unknown_Rural_2024_alignment
"Finniss Vale Drive provides access to the township of Second Valley and is identified in the Southern and Hills Local Government Associations 2030 Regional Transport Plan as a regionally significant tourist and community route The existing road assets are nearing end of life with areas of significant pavement deformation, cracking and limited existing stormwater management infrastructure, resulting in occurrences of road stormwater runoff discharging uncontrolled into private property",11,0.85,SA_Unknown_Rural_2024_alignment
"At the end of the 2023-24 financial year, much of the Sealed Road Renewal program was completed with full completion forecast for September 2023 The completion of the sealing of Forktree Road was a major achievement",17,0.7534860074520111,SA_Unknown_Rural_2024_alignment
An assurance engagement on internal controls is not designed to detect all instances of controls operating ineffectively as it is not performed continuously throughout the period and the tests performed are on a sample basis,7,0.4881630738576253,SA_Unknown_Rural_2024_alignment
"Each year, an Annual Business Plan is adopted, which sets out the budget and funding sources for the year ahead This Annual Report outlines Council’s financial position and provides an update on Council’s progress in line with our strategic management plans, guided by the requirements of the Local Government Act 1999",11,0.8014780278205872,SA_Unknown_Rural_2024_alignment
"Our Community Four year focus PRIORITY 4: Providing for our children, young people and families Arts and creativity grants What we achieved The Mayors Short Story Challenge is a regional initiative of the Councils of the Fleurieu Peninsula and is supported by the Yankalilla Library The challenge encourages school students from reception to year 10 to let their imaginations run wild and share stories through creative writing",4,0.9614484310150146,SA_Unknown_Rural_2024_alignment
"Through their efforts, the Governance team helps maintain the integrity and accountability of Council’s operations Despite increased property search requests, the team has maintained prompt service delivery within legislated timeframes This reflects their dedication to cost-effective and timely service, which is aligned with the Council’s continuous improvement goals",11,0.6116384999752045,SA_Unknown_Rural_2024_alignment
"Maintenance What we achieved In 2020, an Economic Development Strategy was endorsed by Council This Strategy focuses on building a strong environment for local businesses, encouraging partnerships, and supporting investments in critical areas",12,0.7399709007143975,SA_Unknown_Rural_2024_alignment
"By supporting the deferral of key capital and operational projects and the introduction of a three-year budget plan, the Committee has supported initiatives to steer Council towards long-term financial sustainability",11,0.7069043802618981,SA_Unknown_Rural_2024_alignment
"Forktree Road In early 2023-24, the final works were completed on the Forktree Road sealing project, resulting in a newly sealed road that not only offers a convenient route for many users but also showcases some of the most stunning views in the region While initially scheduled for completion in the prior year, the project faced significant delays due to adverse weather conditions",17,0.687241405248642,SA_Unknown_Rural_2024_alignment
"Summary of Material Accounting Policies (continued) Council adopted AASB 2021-2, which makes some small amendments to a number of standards including the following: AASB 7, AASB 101, AASB 108, AASB 134 and AASB Practice Statement 2",12,0.7083596083521844,SA_Unknown_Rural_2024_alignment
"During the consultation period, the councils were engaged and passionate about the use of circular economy, the increase in FOGO and providing other community waste services",12,0.9862270149588586,SA_Unknown_Rural_2024_alignment
"A summary of the activities and discussions of the Audit & Risk Committee across meetings held in July, October and December 2023, as well as February, April and June 2024 are provided below",17,0.7189137240250906,SA_Unknown_Rural_2024_alignment
"Throughout the 2023-24 financial year, the Audit & Risk Committee has been actively engaged in comprehensive oversight, contributing to improved governance and risk management processes",17,0.64541627963384,SA_Unknown_Rural_2024_alignment
"Council has adopted the date of receipt of the Auditors' Report as the appropriate ""authorised for issue"" date relating to these General Purpose Financial Statements",12,0.3866318809986115,SA_Unknown_Rural_2024_alignment
"Funded by the Federal Government and the District Council of Yankalilla, the Commonwealth Home Support Program (CHSP), provides transport services that support older people to stay independent in their homes and communities for longer",11,0.8104083742499352,SA_Unknown_Rural_2024_alignment
Council’s Major Events and Festivals sponsorship program supports community events celebrating local culture and heritage that drive economic activity and community connection,11,0.7415885281562804,SA_Unknown_Rural_2024_alignment
"Evaluate the overall presentation, structure and content of the financial report, including the disclosures, and whether the financial report represents the underlying transactions and events in a manner that achieves fair presentation",17,0.5048111081123352,SA_Unknown_Rural_2024_alignment
Council has adopted all amendments mentioned above required for the year ended 30 June 2024 The adoption of these amendments did not have a material impact on the financial statements,13,0.434779196023941,SA_Unknown_Rural_2024_alignment
"Fleurieu Regional Waste Authority (FRWA) established to provide waste and recycling services for the City of Victor Harbor, Alexandrina Council, District Council of Yankalilla and Kangaroo Island Council",11,0.7345064103603363,SA_Unknown_Rural_2024_alignment
We also updated our website to include an alert banner capacity at the top of all website pages This banner increases the visibility of short-term urgent messages such as depot closures or when delayed kerbside collections,17,0.4439585904280345,SA_Unknown_Rural_2024_alignment
"Implement a strategic economic action plan based on the Northern Regional Futures Plan framework or similar; and Land Donated by Council In accordance with Section 30 of the Local Government (General) Regulations 2025, council is required to report on any non-application of the public tender process.",11,0.6394022714495659,TAS_Unknown_Urban_2025_alignment
"Exeter Bowls Club The NTDC is currently engaged in a number of initiatives including the development of the Regional Economic Development Plan This plan focuses on six key themes: Industry development, investment transaction, population growth, place-making, innovation and culture, and human capacity.) Council has not donated any land during the 2024/25 year",11,0.4980680536925793,TAS_Unknown_Urban_2025_alignment
BEAUTY POINT FORESHORE PROJECT INNOVA BUSINESS PARK The Beauty Point Foreshore Master Plan was developed in conjunction with Tas Ports and Tourism Northern Tasmania,17,0.689136286576589,TAS_Unknown_Urban_2025_alignment
"Condition was assessed taking into account both physical characteristics as well as holistic factors such as functionality, capability, utilisation and obsolescence",12,0.4917256885766983,TAS_Unknown_Urban_2025_alignment
Council has endorsed the concept design for an all abilities Fifty families have joined the group with more on the waitlist,1,0.7711397695541382,WA_Unknown__2023_alignment
"To ensure robust risk management at all levels of planning and decision making, risks are assessed at the strategic, corporate, operational and project levels The City’s IPRF is also aligned to legislative requirements for local governments in Western Australia as per the Local Government (Administration) Regulations 1996",11,0.84204949426651,WA_Unknown__2023_alignment
"Ngala at the Girrawheen Hub The City collaborated with Ngala’s Parenting Connection WA team to lease the main foyer, office and meeting rooms at the Girrawheen Hub This has enabled Ngala to provide a range of services in Girrawheen and surrounding areas, including parenting sessions at the Girrawheen Hub for the local community",17,0.7576135297616323,WA_Unknown__2023_alignment
"We have adopted a Personal Information Privacy Policy to ensure that all reasonable steps are taken so that the collection, use, disclosure and handling of all personal information by the City aligns with relevant Australian Privacy Principles of the Privacy Act 1988 (Cth)",16,0.8339120799303055,WA_Unknown__2023_alignment
SPECIAL INTEREST / FOCUS AREAS ∙ Clear direction and decision making ∙ Strong and diverse local economy ∙ Advocate in line with community priorities ∙ Manage natural assets and resources ∙ Facilities and activities for all,17,1.0,WA_Unknown__2023_alignment
"Through the framework, we provide clear guidelines for the roles of the Council, Council members, the CEO and employees, ensuring that all responsibilities are properly allocated and discharged by those accountable",11,0.4367979780733585,WA_Unknown__2023_alignment
"Except for cash flow and rate setting information, the financial report has been prepared on the accrual basis and is based on historical costs, modified, where applicable, by the measurement at fair value of selected non-current assets, financial assets and liabilities These amendments have no material impact on the current annual financial report",17,0.5674001077810924,WA_Unknown__2023_alignment
"OUR VALUES OUR BUSINESS PRINCIPLES The values provide a foundation for the City, distinguish us and guide our actions to deliver results The City has four key principles, identified by key stakeholders through the development of the SCP, that serve as the foundation of our operational delivery",11,0.8193860816955566,WA_Unknown__2023_alignment
Action owners provides updates on their progress on a six-monthly basis and all progress and requests for closure are reviewed by the internal audit service providers and a report presented to the Audit and Risk Committee,17,0.5387661357720693,WA_Unknown__2023_alignment
"∙ Audit and Risk Committee ∙ Business and Tourism Advisory Group SPECIAL INTEREST / FOCUS AREAS ∙ Catalina Regional Council ∙ Plan, develop and activate employment locations ∙ Community Safety Working Group ∙ Develop to meet current need and future growth ∙ East Wanneroo Community Reference Group ∙ Clear direction and decision making ∙ Environmental Advisory Group ∙ Manage waste and its impacts ∙ Festival and Cultural Events Committee ∙ Bringing people together",12,0.9402642688155174,WA_Unknown__2023_alignment
"Provide transparency to our operations, enhance and protect our reputation and raise awareness of our activities Value to the stakeholder Provide content and stories that gauge community trends, including social, environmental and economic data",17,1.0,WA_Unknown__2023_alignment
Smart Cities Alkimos Central Town Centre The City collaborated with a company that holds substantial expertise in Smart Cities and also works in partnership with Development WA and Lendlease to advance Smart Cities initiatives for Alkimos Central Town Centre and Train Station Precinct The Alkimos Central Smart Cities Project will serve as the model for implementing smart city concepts throughout the City in collaboration with other important stakeholders,11,0.8402890843152999,WA_Unknown__2023_alignment
"Appointed to Audit & Risk Committee and Revenue Review Committee on 21/02/23 WORKING GROUPS At the first Council meeting after an election, Council members nominate for and are appointed to internal working groups and external committees, working/advisory groups and regional councils The following table lists all working groups, advisory groups and external committees to which Council members are appointed",8,0.4778869792819023,WA_Unknown__2023_alignment
"CEO Provides overall leadership to the organisation and oversees the strategic planning, policy and program development across all aspects of our operations The CEO is responsible for the system we work within, the support we provide to the elected Council and the implementation of Council decisions The Office of the CEO encompasses corporate governance, legal advice, advocacy and economic development",12,0.6763677732646466,WA_Unknown__2023_alignment
∙ provide leadership and guidance to the community ∙ facilitate communication between the community and the Council ∙ participate in local government decision,11,0.6249004396796226,WA_Unknown__2023_alignment
REVENUE REVIEW COMMITTEE The Revenue Review Committee provides advice and makes recommendations to the Council on sources of revenue and related policy,12,0.5133897280693054,WA_Unknown__2023_alignment
"Provide for local economic growth and opportunities for the community and wider population Value to the stakeholder Support for business investment, development and growth How we engage Economic development team, digital and social media, meetings (formal, briefings, networking), correspondence/advice, events, workshops, biennial business survey, and the Your Say page of the City’s website",17,1.0,WA_Unknown__2023_alignment
"How we engage Meetings (formal, briefings, networking), correspondence, legislative reporting, events, public relations, advocacy and lobbying, negotiations, projects and joint ventures",16,0.9221056842803954,WA_Unknown__2023_alignment
ECONOMIC UNCERTAINTY Cost of living pressures and continued interest rate rises have created economic uncertainty and the fear of a recession,17,0.7171805699666342,WA_Unknown__2023_alignment
"By empowering leadership at all levels, we enable a high-performing, innovative and future-focused organisation, capable of making a positive difference to all stakeholders The City’s workforce capability requirements are diverse and varied, with roles that span entry level administration and customer service through to professional roles",17,0.8946082989374797,WA_Unknown__2023_alignment
"We initially supported the playgroup to access a community centre, apply for funding, recruit new members and engage with professionals to provide direct support to the group",17,0.7130776345729828,WA_Unknown__2023_alignment
"We regularly engage with the community and other stakeholders and encourage participation by people who live in, work in, visit, or support the City The City has a community engagement framework that is based on an international best practice model and ensures that our community’s feedback and concerns are acknowledged, considered and available for decision making",11,0.8425706606507302,WA_Unknown__2023_alignment
"supports the Asset Management Strategy This document details the planned actions to improve practices in line with the objectives and intent of the strategy, including timeframes for achieving them",17,0.7312645514806112,WA_Unknown__2023_alignment
"TRAINING AND PROFESSIONAL DEVELOPMENT To enable Council members to develop and maintain skills and knowledge relevant to their roles as representatives of the City, Council members are encouraged to attend conferences, workshops, forums and training events",11,0.8432367460727691,WA_Unknown__2023_alignment
ALL ABILITIES PLAYGROUND Council has endorsed the concept design for an all-abilities playground planned for Riverlinks Park in Clarkson The City received a state government grant of $2.6 million to develop a playground that focuses on disability access,11,0.7474280114769936,WA_Unknown__2023_alignment
Middle lower: Cockman House was built by the first permanent European settlers in what is now the City of Wanneroo,17,0.4323631525039673,WA_Unknown__2023_alignment
"Emergency Services Levy ∙ Update of the Internal Audit Log The audit reviewed and assessed the internal controls in place relating specifically to the Emergency Services Levy, focusing on the design and operational effectiveness The audit also considered whether processes are consistent with relevant policies, legislation and better practice",3,0.6477304548025131,WA_Unknown__2023_alignment
Ink in the Lines The exhibition provided a unique platform for the Australian public to engage with the stories behind the tattoos of modern veterans and their families,16,0.7628701670964559,WA_Unknown__2023_alignment
"In this section we look at: OUR HERITAGE SPACES SUPPORT NEURODIVERSE AUDIENCES ∙ our major achievements and challenges for this year Wanneroo Regional Museum now has sensory backpacks available for public use The sensory backpacks, which are also available at Cockman House and Buckingham House, were developed with the support of the City of Wanneroo’s Disability, Access and Inclusion Reference Group and advice from the Spectrum Space Women’s Council",5,0.8415888112187386,WA_Unknown__2023_alignment
"GOAL 3: A vibrant, innovative City with local opportunities for work, business and investment The City’s organisational purpose articulates why we do what we do, why we exist and what our cause is This purpose statement provides a clear message about the expectations the City has in working towards achieving the vision for the future",17,0.9249991178512572,WA_Unknown__2023_alignment
SPECIAL INTEREST / FOCUS AREAS ∙ Valued public places and spaces ∙ Manage natural assets and resources ∙ Prepared and resilient ∙ Advocate in line with community priorities ∙ Understand our stakeholders and their needs SPECIAL INTEREST / FOCUS AREAS COUNCIL-APPOINTED MEMBERSHIP OF COMMITTEES / WORKING GROUPS / EXTERNAL ∙ Value the contribution of all people ∙ Facilities and activities for all ∙ Strong and diverse local economy ∙ Develop local jobs and skills ∙ Manage and protect local biodiversity,15,0.9405657351016998,WA_Unknown__2023_alignment
WASTE MANAGEMENT ADVISORY COMMITTEE The Terms of Reference for the Committee were reviewed and endorsed by the Council in March 2022 The Waste Management Advisory Committee provides advice to the Council and to the City’s representatives on the Mindarie Regional Council on matters relating to waste management in the City,12,0.9889983838796615,WA_Unknown__2023_alignment
"FRAGOLA PARK, LANDSDALE To make sure the main soccer field was up to professional match standards, the City improved the floodlighting by installing 500-lux lights This project cost $2.7 million and was funded by the State Government’s WA Recovery Plan, along with a $126,000 contribution from the City",11,0.7725166216492653,WA_Unknown__2023_alignment
"∙ Hainsworth Youth Centre ∙ Wanneroo Youth Centre ∙ Clarkson Youth Hub and Butler Community Centre ∙ Yanchep Youth Centre During this financial year the Clarkson Youth Hub has undergone refurbishment The upgrades were jointly funded by the Australian Government’s Local Roads and Community Infrastructure Program, Lotterywest and the City While the refurbishment has been underway, the Clarkson youth program was delivered at Butler Community Centre, along with outreach activities at the Clarkson Skate Park",17,0.7642605404059093,WA_Unknown__2023_alignment
"MONTH LESSEE LOCATION Wanneroo Amateur Boxing Club inc. Portion Lot 502 (349K) Scenic Drive, Wanneroo Scouts Association of Australia, Western Australia Branch (Inc) (Scouts WA) Portion Lot 502 (349K) Scenic Drive, Wanneroo Scouts Association of Australia, Western Australia Branch (Inc) (Scouts WA) Lot 1 (76) Ashley Road, Tapping (Agreement for Lease) Avivo Live Life (inc.) Portion Lot 156 (23) Civic Drive, Wanneroo (Extension of Lease) MONTH LESSEE LOCATION Minister for Education Portion Lot 11169 (8) Aylesford Drive, Marangaroo (Licence) Optus Mobile Pty Ltd & Australian Tower Network Pty Ltd Portion Lot 12302 (1204) Wanneroo Road, Ashby Girrawheen Community Garden (inc.) Portion Lot 6 (11) Patrick Court, Girrawheen Olympic Kingsway Sports Club Portion Lot 555 (100) Kingsway, Madeley (CS04-11/21) Department of Communities Portion Lot 800 (46) Highclere Boulevard, Marangaroo Ocean Springs Pty Ltd as bare trustee for the Butler Joint Venture Storage Area, 100 Aurora Esplanade, Jindalee Yanchep Surf Life Saving Club (Inc) Portion Lot 520 (5) Brazier Road, Yanchep Wildflower Society of Western Australia inc. Portion Lot 555 (100) Kingsway, Madeley (Agreement for Lease) LAND TRANSACTIONS (APPROVED) The following land transactions in 2022/23 (leases, unless otherwise indicated) were approved by Council",11,0.7682527890205384,WA_Unknown__2023_alignment
"Our roads programme is developed in collaboration with WA Department of Main Roads, the Indian Ocean Territories Administration, Parks Australia and CIP",17,0.8063121140003204,WA_Unknown__2024_alignment
"Annual Report 2024 Page ii Economy, Housing, Education, Health, Social Councillors have been heavily engaged in advocacy with the Commonwealth Ministers and the Department, about the economic future of the Island",8,0.5697086018323898,WA_Unknown__2024_alignment
"Great Beach / CIDHS Clean up equipment is provided by Community Services for use in clean up campaigns such as gloves, scales, sieves, rubbish bags, tongs etc. Community Services also provides the Shire Training Room to environmental groups such as a Marine Debris Workshop held by Tangaroa Blue",12,0.6900158029794694,WA_Unknown__2024_alignment
"Whilst the regulatory framework only requires a revaluation to occur every five years, it also provides for the Shire to revalue earlier if it chooses to do so",11,0.5346550559103489,WA_Unknown__2024_alignment
Mills Road Intersection Works The Shire initiated plans to reconstruct key intersections along Mills Road to improve traffic flow and safety for heavy vehicles,11,0.8158555588126183,WA_Unknown_Rural_2025_alignment
"Stage 3 of the Kununurra Shared Loop Path will complete the circuit around Coolibah Drive, bridging the gap between local schools and the Leisure Centre This new section begins at the Post Office, where the existing path currently ends, and extends through to the Chestnut Avenue Once complete, this link will create a more direct route between East Kimberley College, the Kununurra School and Community Library, and the Kununurra Leisure Centre",4,0.7801585694154104,WA_Unknown_Rural_2025_alignment
"Workforce development, leadership programs, safety initiatives and integrated planning improvements supported staff capability and organisational resilience, ensuring we can simultaneously deliver major projects and maintain high-quality services for the community This is a great boost to our local economy",17,0.9386555353800456,WA_Unknown_Rural_2025_alignment
"Cloud Migration Migration to Office365 and other cloud-based productivity tools is progressing with completion planned for early 2025/26 This supports business continuity, remote collaboration, and improved digital service delivery under CBP Action 28.2",9,0.8933201346596082,WA_Unknown_Rural_2025_alignment
"Whilst the regulatory framework only requires a revaluation to occur every five years, it also provides for the Shire to revalue earlier if it chooses to do so",11,0.5346550559103489,WA_Unknown_Rural_2025_alignment
For example: Taking a leadership role in unifying the community The Shire’s Role Strategic Community Plan There a various roles that the Shire performs as a local government The Integrated Planning and Reporting Framework groups these in to the following: Key Informing Plans 10 Years Partner Collaboration with external stakeholders to deliver services and projects,11,0.85,WA_Unknown_Rural_2025_alignment
"Through the Community Grants Program, we supported more than 40 local organisations, events and initiatives These grants—delivered across Quick Grants, Rates Assistance Grants, Facility Grants and Event Grants—enabled community groups, volunteers and sporting clubs to deliver programs and activities that enrich community life in both towns",17,0.8713199694951376,WA_Unknown_Rural_2025_alignment
Vernon Lawrence Chief Executive Officer Strengthening Financial Resilience and Supporting Council The most important document the Shire produces is the Annual Budget The administration prepares what it considers to be a worst-case scenario ensuring that we maintain property rate increases at a minimum The budget was reviewed at the 2024/25 Mid-Year Budget Review where no significant changes were made The actual performance against budget has been very pleasing in that the operating deficit was $3.77 million better than forecast and a $1.08 million improvement on the prior year,11,0.6432946677207947,WA_Unknown_Rural_2025_alignment
"Leisure Centre upgrade to create a regional sport and leisure complex This stage includes the construction of a 50-metre lap pool, teaching pool, leisure pool, and Changing Places facility",17,0.6636595229307811,WA_Unknown_Rural_2025_alignment
"PROSPEROUS ECONOMY “We support business diversity, sustainability and choice...” “Liveability is high across the shire...” “We are an attractive destination...” Promoted our area as an attractive place to visit by: Facilitate commercially viable industrial precincts: Provided an efficient and cost",8,0.5377041877061128,NSW_Unknown__2025_alignment
"Delivered extensive Lake Ainsworth upgrades, including carpark and stormwater improvements, aquatic week control, bush regeneration, beach nourishment and bank stabilization, and new footpaths, boardwalk and landscaping. As a result of the 2024 Election, we also welcomed new councillors Michelle Bailey, Therese Crollick, Erin Karsten, Simon Kinny, and Damien Loone",6,0.8408207669258119,NSW_Unknown__2025_alignment
"During the year there were a number of new projects completed where the actual cost was recorded and the impact of depreciation at year end was negligible While these could be classified as valued at Level 2, given the low proportion of the total portfolio that these represented and the likelihood that in future valuations they would most likely be valued at Level 3, Council has adopted a policy that all water and wastewater infrastructure assets are deemed be valued at Level 3",6,0.99376080596447,NSW_Unknown__2025_alignment
"  CC2.1a Implement the Community Gallery Creative Action Plan This quarter, the NRCG implemented several initiatives including launch of new booking and financial systems at Ignite Studios, curation of the Nyangbul NAIDOC Exhibition featuring local First Nations artists and hosting a range of successful workshops and programs The team also continued preparations for the Ceramics Studio launch scheduled for September and began engaging local schools through gallery tours, with plans to expand educational outreach",17,0.6736222406228384,NSW_Unknown__2025_alignment
BMT has completed the flood study update and also updated DCP and LEP mapping as part of Strategy 2 of the project,17,0.8474379777908325,NSW_Unknown__2025_alignment
  CC3.2a Implement the Sport and Recreation Facilities Plan Major capital elements at Saunders Oval and Williams Reserve completed this quarter following wet weather impacts,17,0.6788550317287445,NSW_Unknown__2025_alignment
Pearces Creek Road footpath design and cost estimates completed up to the Adventist retirement village The concept design to link the remaining section of the pathways to the Wollongbar sports fields was completed in the third quarter,17,0.6195050477981567,NSW_Unknown__2025_alignment
" CC1.1f Implement Proactive Parking Program Parking patrols are conducted by licence plate recognition (Aero Ranger) and routine patrols including foot patrols, The use of smart technology has improved the coverage in the Shire The Fines Amendment (Parking Fines) Act 2024 will take affect from 1 July 2025 and Council implementing measures to ensure compliance with requirements of the amendments",11,0.8446059233546257,NSW_Unknown__2025_alignment
"Operated the Ballina Visitor Information Centre seven days a week with targeted marketing to locals and visitors, updated databases, completed accreditation, implemented a new Point of Sale system and prepared for a future online store",17,0.5510364969571432,NSW_Unknown__2025_alignment
Policy Objectives The objectives of this policy are to:  enable the reasonable and appropriate reimbursement of expenses incurred by councillors while undertaking their civic duties  enable facilities of a reasonable and appropriate standard to be provided to councillors to support them in undertaking their civic duties  ensure accountability and transparency in reimbursement of expenses and provision of facilities to councillors  ensure facilities and expenses provided to councillors meet community expectations  support a diversity of representation  fulfil the council’s statutory responsibilities,11,0.85,NSW_Unknown__2025_alignment
Home internet/NBN connection disability inclusion action plan DISABILITY I N C L U S I O N ACTION PLAN Adopted 28 September 2023,17,0.802201529343923,NSW_Unknown__2025_alignment
"Ballina Shire Council has adopted terms of reference for its audit, risk and improvement committee that are informed by the model terms of reference approved by the Departmental Chief Executive of the Office of Local Government and the committee operates in accordance with the terms of reference (section 216K of the Local Government (General) Regulation 2021)",11,0.7548376823663712,NSW_Unknown__2025_alignment
"Pearces Creek Road Bridge (joint project with Lismore City Council) Development of Land in Southern Cross Industrial Estate, Ballina and Russellton Estate, Wollongbar Kerr Street Duplication and Bentinck Street Lights Adopted and commenced delivery of Kingsford Smith Masterplan Wardell Village Revitalisation River Street Duplication (Stage 2",11,0.8118936029672622,NSW_Unknown__2025_alignment
Council’s Access Reference Group will also support the implementation of the plan by providing ongoing feedback on the progress of the actions The priorities associated with the actions listed will provide a framework for completing each action,11,0.7514145051836968,NSW_Unknown__2025_alignment
"Estimated close-down and restoration costs are provided for in the accounting period when the obligation arising from the related disturbance occurs, whether this occurs during the development or during the operation phase, based on the net present value of estimated future costs",15,0.6488856027523677,NSW_Unknown__2025_alignment
"At commencement date and each subsequent reporting date, Council assesses whether it is reasonably certain that the extension options will be exercised As at 30 June 2025, Council assessed that the exercise of any options is reasonably certain Therefore there are no potential future lease payments not included in the lease liabilities as at 30 June 2025",8,0.367645114660263,NSW_Unknown__2025_alignment
"Our ongoing initiatives, such as the Healthy Waterway Strategy and Illegal Dumping and Litter Prevention Strategy, are designed to protect our natural surroundings, ensuring a cleaner and healthier environment for future generations",17,0.8669008811314901,NSW_Unknown__2025_alignment
"Ballina Shire Council provides the audit, risk and improvement committee with direct and unrestricted access to the general manager and other senior management and the information and resources necessary to exercise its functions (section 216L of the Local Government (General) Regulation 2021)",11,0.680336381316185,NSW_Unknown__2025_alignment
"Safety, rights and justice: Ensuring the rights of people with disability are promoted, upheld and protected, and people with disability feel safe and enjoy equality before the law",16,0.9938132327795028,NSW_Unknown__2025_alignment
