doi,text_id,text,sdg,labels_negative,labels_positive,agreement
10.1787/c69de229-en,42ca39e0e46f92042e38cffe54610332,"Expenditures on other cash benefits share a positive association with child poverty rates (columns 2 and 3), which suggests a reverse causality effect, that is countries with higher child poverty rates tend to spend higher amounts on other cash benefits, all else being equal. Concentrating on associations with changes in expenditure on social cash transfers, columns 4 to 6 of Table D 1 suggest that, ceteris paribus, many social cash transfers frequently share no real clear and systematic association with changes in relative child poverty rates over time. Given a certain level of pre-transfer child poverty, changes in per head spending on unemployment benefits, on parental leave benefits, on family allowances, on incapacity, and on other cash benefits share no clear and significant association with changes in the relative child poverty rates.",1,0,9,1.0
10.18356/d6eab0c2-en,4e377a54d1e4ea742ddb18ef7880b1f7,"In most developing countries, older persons need to work beyond the statutory retirement age due to the lack of comprehensive social security programmes. To fill the gap between what they need and what they earn, older persons rely heavily on assets accumulated earlier in life and in some countries, also on their families. In the majority of these countries, public social programmes play a minor role. Conversely, older persons in developed countries are less likely to work into old age.",1,0,5,1.0
10.18356/150942f1-en,fe3e8d6f3e092d9d2b66e94b7601be5e,"This is primarily due to the greater monetary poverty impacts already noted and the fact that food prices are predicted to increase much more than non-food prices in Ghana. Among older children (11-14 years old), only Burkina Faso is significantly affected with enrolment drops of about 0.5 percentage points and slightly greater increases in child labour activities. This result is observed in all 3 countries, with the largest reduction in consultation rates (roughly 1 percentage point) predicted for Burkina Faso.",1,1,7,0.75
10.18356/6950d0fe-en,57c3701aa7eced43e63684b4b6cf6f9e,"Thus, the purchasing power of a LEAP cash grant may be much lower in urban than in rural settings. One implication is that programme impacts will be diluted. One 'rule of thumb' is that cash transfers should be worth at least 20 per cent of the household's pre-transfer consumption to achieve significant impacts (ILO 2016:51).",1,0,3,1.0
10.18356/3f10390a-en,051ecd695adde95f1395550e5b7362b5,"In the 2002-2008 period, the rise in employment contributed to earnings growth, but less so than the change in the remuneration of those employed. Colombia, Honduras, Peru and Uruguay are exceptions, as employment among poor households increased in the recent period (see figure 1.6). The percentage of the population analysed is the same in both periods and corresponds to the poverty rate in 2002.",1,1,8,0.7777777777777778
10.18356/47c7f9c4-en,0f8a5b7dc1199e99518bd64bc90a27a7,"The argument may be less applicable for rural areas in Central Asia. In all four countries for which we have data, the working poor make up a significant share of the total poor. Although children in families with working parents are usually better off, especially if the parent is highly educated, the share of the working poor remains significant due to low wages in many sectors, especially in agriculture and the public sector. The salaries are not sufficient to lift families out of poverty (Baschieri and Falkingham, 2007). In Uzbekistan, 50 per cent of the poor are either working in the public sector, are low-paid employees or self-employed (UNICEF 2009a). In Kyrgyzstan, 70 per cent of the poor are living in a household where the head is employed (World Bank, forthcoming).",1,0,9,1.0
10.18356/7aa2651d-en,ea5d27a2dffbfdccc0d041b0319f9034,"Taken together, they moved the proposed new poverty line closer to 50% of median income (the exact figure would depend on how the proposals were implemented). Following the NAS report, the United States Census Bureau began tentative experiments with a new poverty measure that incorporated some of the recommendations (though not the allowance for regional variations in the cost of living). Add to this the fact that the official poverty line is the responsibility of the Executive Office of the President and it is evident that any re-drawing of the line is going to be a high-profile issue subject to intense institutional and political pressures.",1,0,4,1.0
11.1002/pub/80f4cf5d-7b2c7042-en,b383a9976f7643e96b05ff7f207c1ff0,"From 1990 to 2015, more than 1 billion people were lifted out of extreme poverty. Achieving SDG 1, however, will nonetheless not be easy. Over 700 million people continue to battle extreme poverty, living on less than $1.90 per day. The world population continues to grow. Poverty eradication efforts will demand we reach communities alienated within current development pathways because they lack productive capacities, live in remote areas without access to services or face discrimination. Many people who escape income poverty may remain relatively poor in their local context or face deprivations in health, education and shelter.",1,0,13,1.0
10.1787/5jxzf5khtg9t-en,7f5e246bb722b9f0b0918fa146bbd81e,"The main interpretation issue with relative poverty lines is that poverty rates based on them may remain constant or even fall if all households (including the poorest ones) experience a decline in their incomes . Moreover, people identified as poor in one country might not be considered poor in another, given the substantial differences in median incomes across OECD countries. Figure 5 shows the interregional dispersion of poverty headcounts w ith the poverty line defined at 60% of the national median income.",1,0,5,1.0
10.18356/97ed059a-en,b2c4cfd9b97832dff9987e0fadb69696,"In Cameroon, the universal transfer policy in these conditions amounts to distributing about 29300 CFA francs (in 2007 terms) per year to each child aged 0 to 5, with a total budget equivalent to 1% of before-crisis GDP. As for the targeted transfer programme, it is also assumed that the transfer is given to the household head, who ensures an equitable distribution among household members. The poverty rates are only slightly higher in the universal transfer scenario if we consider children aged 0 to 14 (a difference of 0.2 to 0.5 percentage points), but is slightly lower in that scenario within the 0 to 5 year age group (a difference of 0.4 to 0.5 percentage points).",1,0,9,1.0
10.1787/9789264084728-10-en,2421f6b608ad1bd7a34d69ee4bb3ef15,"It then looks at the evolution of inequality across the groups of countries defined by the four-speed world classification presented in Chapter 1. In many cases, fast growth has been accompanied by increased inequality, further complicating the challenge of poverty reduction. The chapter further looks at efforts to make growth pro-poor and goes on to argue that, measured in relative terms, poverty remains a significant obstacle even in converging countries that have successfully reduced absolute poverty.",1,0,3,1.0
10.1787/5jxrcmgpc6mn-en,6c10510c1cd73b162f80a15127e5893f,"In the discrete time case, spells of receipt may be defined in terms of groups of consecutive intervals in receipt, but the accuracy of measurement of spells depends on how short the interval is. If observation of receipt is only annual or at one point within a year, short spells of receipt may be missed altogether. If a ‘benefit year’ is defined (for data-related reasons) as receipt at any time within a given year, as commonly done (see Annex 4.B), there is an asymmetric treatment of receipt relative to non-receipt. Only one week of receipt is needed to generate yi, = 1 for a benefit year, whereas non-receipt requires a full 52 weeks of non-receipt.",1,8,1,0.7777777777777778
10.18356/a1fda3f6-en,d4ac8714e738795e517a694a80e408f1,"There are many answers to this question. The incidence and pattern of rural poverty are highly sensitive to the measurement approach taken. Re-estimating the incidence of poverty on the basis of two other specifications of the poverty line yielded different results. Second, a notional basket of items that would correspond to the poverty threshold based on local perceptions was composed through participatory interactions with village folk.",1,0,9,1.0
10.1787/9789264168367-4-en,3ee48c8696374d7dba0cc6199e8ab99a,"The following section sets out what may happen to low-income families under the alternative “Golden Age?” These two scenarios share some common trends. In both future worlds, economic growth is expected to be slow to modest (on average) to 2030, both expect to see rising social inequalities, and both predict continued pressure on public spending with the generosity of welfare payments declining. But there are important differences between the scenarios with differing implications for poverty and social cohesion. As a result, while the numbers living in absolute poverty have declined, the continued rise in inequality has meant that relative poverty has continued to grow, albeit at a relatively slow pace. While incomes have risen, so too have costs, particularly for housing, education and transport and those at the bottom of the income distribution scale are increasingly excluded in these domains.",1,0,7,1.0
10.18356/488a38e7-en,94c2e562ea93e59114f1c22b2afe905c,"Data are also available disaggregated by sex of the head of household and type of household in Latin America and the Caribbean, and by type of household in Europe. In contrast, poverty data compiled for this report cover only a small number of countries in Africa and Asia and none of the countries in Oceania. The revision of the international poverty line and corresponding estimated poverty data reflects new data on PPPs compiled in the 2005 round of the International Comparison Program.",1,0,3,1.0
10.1787/9789264168367-4-en,b179b64d094752d55f69f6a585a65b25,"Indeed in the United States there is now a significant amount of research that suggests that it is poverty and inequality that causes low rates of marriage, with the incentives of young single women to commit to marriage declining alongside the labour market prospects of men. Future marriage rates therefore appear likely to continue to decline further while becoming increasingly divergent by socio-economic status. Studies across countries and over time find, without exception, large income losses the year after a marital split (Jenkins, 2009).",1,1,8,0.7777777777777778
10.18356/a24ac2e3-en,41e74b1ae479b544e97572387da4802c,"While the dimensions are the same as for children in the third age group the indicators on education and child labour differ. Whereas children of 15 years and older are not obliged to go to school, the education dimension focuses also on schooling outcomes, rather than just access. The school enrolment indicator is combined with primary school attainment, meaning that children who are not going to school, but have completed primary school are not deprived. In addition, there is an indicator measuring quality, identifying a child as deprived if he/she cannot read and write in any language.",1,3,0,1.0
10.18356/81e6e689-en,6db8352a4d4acb4d0d75f8096d5a0054,"It is therefore argued that good governance is a precondition for poverty reduction by ensuring sustained growth. Additionally, “pro-poor” good governance reforms are supposed to enhance the scale and efficiency of service delivery to people living in poverty. The stabilization of property rights, the rule of law and the significant reduction of corruption—that is, the achievement of good governance goals—require fiscal capabilities not available in most developing countries. As structural and fiscal constraints prevent significant improvements in governance capabilities, market failures are likely to remain significant, and are unlikely to be significantly reduced by governance reforms.",1,1,8,0.7777777777777778
10.30875/717fbf8e-en,d2fa0b6fbb599a84e23e94c0211ab47e,"Moreover, the studies do not examine the relationship between openness and vulnerability to poverty. This is because they generally overlook the possible impact of the opening process on households' exposure to risk as well the role of trade openness as one of the possible channels of risk. Vulnerability to poverty fell in Viet Nam during the Doi Moi period, together with an increased share of its stochastic (risk) determinant. The share of the vulnerable population in the relatively more trade-exposed sectors fell more slowly than in non-traded sectors.",1,0,9,1.0
10.18356/208cb99e-en,edbea66f74c247962046192effc9bd44,"An investigation into the contribution of each dimension to overall poverty shows how people are poor. Combined with information from the headcount ratio (how many people are poor) and the intensity of poverty (how poor they are), the high-resolution lens of MPI becomes a very valuable tool for policymaking. The results are presented in the Figure 1 below.",1,0,9,1.0
10.18356/441bff2d-en,251b9299316823651f2c7eaad5c22602,"Lastly, Ribas and Soares (2011) show that in poor areas Bolsa Familia negatively affected the hours worked but impacted positively on the participation of other household members in the labour market. Chile Solidario promotes public work projects or facilitates the process of looking for a job via enrolment at the local employment office (OMIL). Indeed, table 3 shows that the programme is successfully achieving this aim given that the share of households working thanks to Chile Solidario or OMIL (5.4 per cent) is higher than for the control group (2.5 per cent), the difference being statistically significant. A similar pattern has been observed by Galasso (2006), who showed that the programme directly increased employment among beneficiaries in urban and rural areas by 6 and 4 per cent, respectively.",1,1,8,0.7777777777777778
10.18356/b9c917b5-en,669246fea9f235f4fc8c49c30b22162e,"In some cases the decline is dramatic—from 78 per cent to only 59 per cent in Maharashtra, for example. Social divisions extend beyond religious and ethnic groups to caste divisions, which in India, are not confined to Hindus, but are also implicitly recognised and practised in other religious communities. There were hopes and expectations that such divisions would decrease or disappear in the course of economic development. This has not really happened to the anticipated extent, even in the more advanced urban areas.",1,3,0,1.0
11.1002/pub/80f4cf5d-7b2c7042-en,3d2544b38eb6b6f25d5722ab50f62d9a,"Household surveys and censuses offer a picture of poverty but only at five and ten year intervals. Poor and marginalized people and communities are among the most likely to be missed by official statistics. Alongside improving official statistics, therefore, policy-makers are turning increasingly to ICTs to facilitate ""big data"" solutions.",1,0,3,1.0
10.18356/ff76cb89-en,d433951a5a0407570d38c3e9595bb024,"To fully appreciate the role that governance can play in reducing poverty, it is important to make a distinction between public policy, on the one hand, and governance, on the other. Public policy is made—and implemented—within a governance framework. The latter can facilitate the policy process, but it may also hinder it.",1,0,8,1.0
10.18356/3e6fd74f-en,ed355d8ba6fe1ee93f2a1763a747d6ea,"In none of them do women reach that level, because most of them are not participating in the labour market. In the other groups, employees account for the largest share (50% of the non-indigent poor, 57% of the vulnerable and 64% of the non-vulnerable), showing that wage employment does not protect people from the risk of slipping into poverty. There is a gender gap here, as well, among women (particularly among the indigent and the non-indigent poor), a larger percentage are unpaid family workers and domestic workers.",1,0,6,1.0
10.18356/88ed44cf-en,0d4f21809d70588dd9b86d4778a3a76e,"For the rest of the deprivations, no substantial differences linked to the level of multidimensional poverty were found. As can be seen, the contributions of the different deprivations to the adjusted headcount ratio remained fairly stable in both periods under review. The most marked change was the drop of 20 percentage points in the contribution of income-based deprivation to total poverty in Argentina between 2005 and 2012.",1,0,7,1.0
10.1787/eco/surveys-prt-2014-6-en,175caf1b543dc9947a7195e6781f0a03,"The economic crisis has halted a iong-term gradual decline in both inequality and poverty and the number of poor households is rising, with children and youths being particularly affected. Unemployment is one of the principal reasons why household incomes declined. The tax and benefit system alleviates both inequality and poverty significantly.",1,0,4,1.0
10.18356/76c9b151-en,e039884750c7fa1a831e9b4539210dbf,"On the other hand most of the sub-Saharan African countries in the lower ranks of the figure have either witnessed increased poverty or relatively slow progress towards poverty reduction. The divergent experiences within the group of countries recording mass poverty are of paramount importance in understanding the problem of persistent extreme poverty at the global level. The comparison of the experience of this group of countries with those at less extreme levels of poverty, as defined by international poverty lines, can also be instructive. Figure 29 shows examples of typical country experiences in relation to their poverty trends and the effect of changes in income distribution on poverty.",1,0,9,1.0
10.18356/0a7c7f99-en,3bf6c98fffe7ede5afe0dd7f9cdb3b68,"They have undertaken advocacy and awareness-raising activities among working people on issues related to gender equality. Some CSOs have also engaged in research and awareness-raising activities to enhance women's knowledge of their rights. In the Democratic People's Republic of Korea, the General Federation of Trade Unions of Korea undertakes advocacy and awareness-raising activities among workers on issues related to gender equality, and ensures that women's rights are guaranteed.",1,9,0,1.0
10.1787/c69de229-en,bc71f47ea12ea4fb53cb55c8beaa75a1,"Poverty and living standards of children since the early 1970s. The use of common baseline for countries makes it possible to consider convergence or divergence of living standards between countries. The selection of the reference poverty baseline is necessarily arbitrary, but following (Scruggs and Allan, 2006[i6]), the poverty line prevailing in the United States in 1974 (adjusted for price inflation) was taken as a pre-oil shock benchmark to measure absolute progress in the living standards of low-income families.",1,0,9,1.0
10.18356/81e6e689-en,1c53d758351ddc51cefc52442a087840,"If microfinance institutions extend lending to the very poor in these circumstances then they can help break the power and hold of moneylenders and landlords. Unfortunately, however, most microfinance institutions have been found wanting when it comes to lending to the very poor. Nonetheless, it seems that microfinance has made a significant dent in the informal usurious credit markets by undermining usury and debt bondage in some agrarian societies.",1,0,9,1.0
10.1787/9789264084728-10-en,9ccbe34e24e42b0b3f51721355ddbbd0,"Increasing wealth also means that governments can increasingly afford to address the social needs of their citizens directly. Where this is the case social objectives and policies should evolve accordingly and reflect the new-found capacity of the economy to secure greater social cohesion. Growth can be seen as a rising tide, but though it has lifted many boats, not all have risen by the same amount. Strong growth is necessary to reduce poverty and deprivation sustainably in poor countries and can substantially contribute to reducing poverty in middle-income ones.",1,0,8,1.0
10.1787/9789264084728-10-en,3097d8cfbeef6b7373c75951193c1cee,"In much the same way that shifting wealth raises concerns about inequality in countries with strong growth, notable reductions in absolute poverty levels prompt questions about the evolution of relative poverty. These comparisons are all the more interesting given the wide variation in relative poverty within the group of OECD member countries (see OECD [2008a]). Figure 4.4 displays measures of relative poverty for selected emerging and developing countries that have achieved significant reduction in absolute poverty, and compares them on the same measures with a variety of OECD members.",1,0,4,1.0
10.18356/797ccf27-en,4aaafbe5772d0b7cdcb9330a420870dc,"Nonetheless, the behaviour of inflation in individual countries also will depend on the fiscal and monetary policies being implemented and private expenditure trends, among other factors. Up to September 2008, total inflation in the previous 22 months had risen in all countries, and, with one exception, the food price index had outpaced the overall index (see figure 1.8). In line with the drop in international prices since the middle of 2008, domestic inflation eased in the second part of the year in most countries.",1,0,3,1.0
10.18356/47c7f9c4-en,5e518bda8233c7e8c1de73d06f52b72e,"In the bottom quintile, coverage is 40 per cent. However, pensions are small and contribute less than 10 per cent to total household consumption of the poorest households receiving a pension (World Bank 2009a). Pensions are an important component of social protection and contribute significantly to poverty reduction, although this is not their main objective.",1,0,9,1.0
10.1787/5k92n2x6pts3-en,db766d9f46612e385f6436862096114b,"Moreover, we demonstrate that aside from the ease of comparison with OECD country experiences, using a poverty line set at a proportion of the median has additional appeal to national debates on poverty measurement. Section IV compares the proposal with alternative approaches for comparative or global poverty analysis. Section V contrasts the evolution of relative poverty in Brazil, China and the United States to show the relevance of relative poverty measures across levels of development.",1,1,8,0.7777777777777778
10.18356/faa55f92-en,28324fde7835d5a2deb37f2f881aa9ad,"Children living in households with no income from employment, as well as in households that experience a drop in employee income of at least 5 per cent, are consistently at a high risk of entering poverty. Meanwhile, employment events have less of an impact, except reductions in the number of employed adults, which consistently increases the risk of poverty entries. Demographic events, which are quite rare in the short EU-SILC panel, have little bearing on child poverty transitions in the EU-SILC.",1,0,3,1.0
10.18356/f08da6fa-en,26b27c49008b0f5bc8f58f6f07ce5779,"Using data from the Integrated Living Conditions Surveys of 2013 and 2014, this report also assesses the overlap between child multidimensional and monetary poverty, as measured by the national poverty line. Almost one in three children are both poor and deprived: 28 per cent of children are deprived (in two or more dimensions) and live in monetary-poor households. These children are the most vulnerable, and should be prioritized by social policies.",1,0,5,1.0
10.18356/32eef2ab-en,dbff0dfa9ac98e9cc63571f228b5f393,"Comparing Approaches to Measure Multidimensional Child Poverty, Innocenti Working Paper2016-29, UNICEF Office of Research - Innocenti. Defining and Measuring Poverty and Inequality Post-2015, Journal of International Development, 27(3), 399-414. Using Non-monetary Deprivation Indicators to Analyze Poverty and Social Exclusion: Lessons from Europe?",1,0,3,1.0
10.1787/c69de229-en,e1dffdd9d8915af083887895ea92d657,"Most of the decline in income in Spain and the United Kingdom is not explained by changes in family characteristics but refers to its “unexplained” share which largely reflects a change in conditional income “returns” for a family with given characteristics. As shown in Figure 19 Panel B, this negative “unexplained” contribution in Panel A is largely associated in Spain with a decline in disposable income of the non-employed fathers - other characteristics being the same - and with a decline in the income obtained by full-time full-year workers. By contrast, the disposable income of children with a working father remained stable, despite an increase in market income in the bottom of the income distribution which suggests the transfers received were reduced over this period for low income families with a working father. In the United Kingdom, the decline in disposable income for families with given characteristics is dominated by a drop in income associated with the mother's activity status (Figure 19 Panel B). The drop is stronger when the mother has a job (-38%), but is also significant (-26%) when the mother has no job. The drop in primary income linked to employment reflects a decline in the quality of employment for mothers of relatively poor families.",1,1,10,0.8181818181818182
10.18356/39291afb-en,63674c656ca30c2cc815635182fd8075,"Chile also saw poverty decrease, in this case between 2015 and 2017. The official estimates available for these countries corroborate the trends described, although the estimates are larger in Argentina and El Salvador, smaller in Costa Rica and similar in the other countries (see table II.2, figure II.3 and annex table II.A1.2). This is the case of Ecuador, Panama, Peru, the Plurinational State of Bolivia and Uruguay. Among the countries with data available to 2017, only Brazil showed a slight rise in poverty.",1,0,5,1.0
10.18356/152d606d-en,80ac2ed6d6edea24307975ea32ad1c65,"It is the reason why the International Labour Organization constitution tells us ""Labour is not a commodity.""' And we know that the quality of work defines in so many ways the quality of a society. So we must begin by helping the working poor step out of poverty and informality into quality livelihoods, self-employment or a formal job.",1,1,8,0.7777777777777778
10.18356/028f7d06-en,f97fd6cad09ecaa5058692a6c0be5f0a,"For this reason it is better to define the poverty threshold using deprivation in two dimensions, in line with other recent multidimensional measurements (Alkire and Santos, 2010, CONEVAL, 2009, Gordon and others, 2003). The countries with the highest multidimensional poverty rates (Guatemala, Honduras, Nicaragua and the Plurinational State of Bolivia) are also those with the highest monetary poverty rates. At the other extreme, Chile, Costa Rica and Uruguay (urban area) are the countries with the lowest multidimensional poverty rates and the lowest monetary poverty rates (see table 1.4). Refers to the latest survey available between 2006 and 2009. The only cases where multidimensional poverty did not decline was in some countries where rates were below 10% (which is to be expected because some of the indicators used are probably at the minimum threshold level).",1,0,3,1.0
10.18356/2cb622fb-en,5048ad2f6b6d1b9e43e0da5970a1cef3,"Thus, social identities would be mediators between the “objective” social structure and the representations that persons or groups construct of their position in that space. As shown in the following figure, those who identify themselves as indigenous or of African origin indicate, more than in the case of the remaining social categories in question, that the members of their own group (native peoples or Afro-descendants) are the most discriminated against. Hence, discrimination of ethnic minorities is more significant for respondents who identify themselves as members of minority groups. Because ECLAC has not finished processing the new surveys, the data for 2008 have been preliminarily estimated by applying 2005 (as estimated by ECLAC).",1,3,0,1.0
10.18356/0a7c7f99-en,c35131b76312220e215b226ca6162e0b,"The stigma attached to transgender people, men who have sex with men, and sex workers has resulted in their social exclusion (Winter, 2012). In South and South-West Asia, transgender people in particular lack recognition. Being held in low esteem, they find it difficult to pursue education, enter a profession or set up a business.",1,3,0,1.0
10.18356/3afdf450-en,963ef4d34f5f121b24eee419be84e535,"These recent data confirm Nordic countries and the Netherlands as those having some of the lowest child poverty levels. At the other end of the spectrum are Japan, the United States, some Southern European countries (Italy, Greece, Spain and Portugal) and some of the new EU member states (Romania, Bulgaria, Latvia and Lithuania). As discussed in the paper, several factors are associated with the risk of poverty, in particular the household composition, the level of education and the actual workforce participation of household members.",1,1,8,0.7777777777777778
10.1787/c69de229-en,1133d0d57ca1d504e0f7e2170883e4ee,"The average household size is also highly correlated with the youth dependency ratio - the number of young people under 15 years of age relative to the population of working age. The youth dependency ratio reflects changes in demographic structure, but is less relevant than the average household size for the assessment of the poverty risk at household level. For this reason and to limit collinearity problems, only the average household size variable is included in the selected model specifications.",1,0,4,1.0
10.1787/c69de229-en,e7e3aab65e178ac649a89b1d6be08e92,"High costs of untargeted transfers naturally encourage efforts at targeting in favour of poor people to try to assure a greater impact on poverty for a given budget outlay. However, fine targeting it is not necessarily the best instrument for this purpose given the (sometimes hidden) costs and incentive effects. One question is then to define the relevant population group to be targeted and the criteria to be used to delimit it.",1,1,8,0.7777777777777778
10.18356/73b30008-en,82f7c29b0d9ad6b4accea567085791a7,"Only by using longitudinal data one can understand the processes behind cross-sectional statistics: the events leading individuals into and out of poverty, and the associated impact on their living standards. Longitudinal poverty analysis can also identify ways in and out of poverty, which can help policymakers adopt better safety nets or other inclusion policies. Discrepancies between international and national databases often result from differences in the ways in which the associated indicators are defined and reported. Empty cells indicate that the corresponding figures do not appear in either database, for any of the years taken into consideration (from 1990 to 2009).",1,0,5,1.0
10.18356/8d6bdedf-en,854dea74850f51cb81f83149adbb6bcf,"Therefore, although there has been a steady decline in the incidence of poverty in India, the efforts of the Government have not resulted in a uniform impact across regions. There remain regions where the poverty is still deep and severe and hence they require greater attention. In several countries, the rate of rural urban or interregional convergence has declined over time as a result of widening income inequalities and pro-urban industrial and public investments policies.",1,0,4,1.0
